Country,Paydex Score,SER Score,SSI Score
Hungary,NO PAYDEX,2,5
Canada,79,3,4
United States,71,2,1
United States,63,5,7
Taiwan,80,2,3
United States,80,4,1
Taiwan,80,2,3
United States,79,5,3
United States,76,4,2
United States,78,4,1
Japan,NO PAYDEX,1,3
Brazil,None,NO SER,10
United Kingdom,70,3,1
United States,61,6,10
United States,67,6,8
United States,74,5,3
Mexico,None,NO SER,7
United States,72,1,5
United States,79,2,2
Netherlands,None,1,7
United States,70,2,2
Canada,67,4,3
United States,72,2,1
Japan,NO PAYDEX,4,7
Brazil,NO PAYDEX,NO SER,3
United States,75,4,5
United States,75,2,4
United States,75,2,4
Taiwan,None,4,5
Vietnam,NO PAYDEX,NO SER,6
Taiwan,80,2,3
United States,79,3,1
Russian Federation,NO PAYDEX,NO SER,1
France,76,8,6
Turkey,58,NO SER,0
Germany,78,5,5
China,999,NO SER,1
Greece,44,NO SER,0
United States,73,3,0
Ireland,NO PAYDEX,5,8
Brazil,None,NO SER,2
United Kingdom,71,5,2
Canada,78,1,10
Canada,78,1,10
United States,72,6,5
Brazil,None,NO SER,2
United Kingdom,3,4,2
United States,80,2,2
France,75,1,5
United States,78,4,1
United States,73,1,1
United States,73,1,1
Taiwan,72,3,3
United States,75,5,3
United States,58,8,6
United States,78,2,3
United States,69,4,6
United States,74,4,0
Hong Kong,NO PAYDEX,1,1
United Kingdom,71,5,5
United States,79,3,0
Republic Of Korea,NO PAYDEX,NO SER,6
Denmark,NO PAYDEX,1,2
Italy,79,1,5
United States,76,4,6
United States,67,4,7
Taiwan,72,2,3
Netherlands,74,5,3
Germany,80,2,2
Germany,73,4,3
United States,74,2,0
Germany,79,4,10
United States,None,8,6
United States,77,1,0
France,57,3,8
United States,65,6,8
Australia,80,1,5
Denmark,NO PAYDEX,1,2
Ireland,None,6,5
China,None,NO SER,5
Canada,78,6,3
Finland,84,NO SER,6
Brazil,None,NO SER,0
United States,77,2,1
United States,75,3,6
United States,64,2,8
Canada,73,4,3
United States,62,3,4
United States,75,3,0
United States,75,1,6
United States,70,6,5
Ecuador,NO PAYDEX,NO SER,4
Brazil,None,NO SER,4
United States,70,5,7
United States,70,5,7
Cayman Islands,NO PAYDEX,NO SER,5
Japan,NO PAYDEX,1,8
Japan,NO PAYDEX,1,5
Japan,NO PAYDEX,6,5
Japan,NO PAYDEX,2,3
United States,79,1,3
Singapore,73,2,5
Republic Of Korea,NO PAYDEX,NO SER,7
United States,66,6,8
United States,73,6,10
Japan,NO PAYDEX,1,5
United States,80,4,2
Mexico,53,NO SER,None
Australia,80,3,5
Australia,80,5,5
United States,65,7,4
Germany,66,3,2
Hong Kong,NO PAYDEX,2,5
United States,61,8,4
United States,68,4,4
Taiwan,79,2,6
Taiwan,79,2,6
United States,77,4,2
Germany,69,2,2
Australia,77,1,4
Germany,None,2,3
United States,78,4,1
China,None,NO SER,2
Netherlands,None,4,7
Canada,77,4,4
Canada,77,4,4
Argentina,NO PAYDEX,NO SER,5
United States,72,5,7
United States,76,6,5
Singapore,74,4,5
Peru,80,NO SER,2
Chile,None,NO SER,5
United States,69,6,5
United States,80,4,1
Japan,NO PAYDEX,3,5
Japan,NO PAYDEX,3,6
India,79,NO SER,0
Taiwan,79,2,4
Sweden,79,2,3
Bermuda,NO PAYDEX,NO SER,5
Hong Kong,52,3,8
Taiwan,80,2,4
United States,74,1,4
Switzerland,NO PAYDEX,1,5
Japan,NO PAYDEX,1,3
France,69,1,None
Austria,70,1,3
United States,73,1,1
Philippines,NO PAYDEX,NO SER,3
United States,79,1,0
Hong Kong,NO PAYDEX,1,5
Republic Of Korea,NO PAYDEX,NO SER,5
Malaysia,NO PAYDEX,NO SER,2
Japan,NO PAYDEX,2,3
